pslist.nproc,pslist.nppid,pslist.avg_threads,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,malfind.ninjections,malfind.commitCharge,psxview.not_in_pslist,callbacks.ncallbacks,Class
81,10,9.31528021843576,1930,57.83310403723848,12263,133.87614320364264,7,1,2,1,14,0,88,Benign
44,15,20.101338588327177,4753,39.43489768071959,12050,151.36587831817582,9,6,3,6,37,2,44,Malware
90,22,24.159312801036616,4665,13.251922986059663,21080,371.79506482027386,6,5,2,5,31,2,63,Malware
50,20,10.13180277600055,4475,34.64452845840993,26645,437.3919793448677,1,8,2,0,44,2,75,Benign
53,19,30.81292004265628,1827,59.637563662597564,18057,180.57998253251156,4,6,3,6,28,2,87,Malware
32,25,20.9604043599009,3184,29.370136029713166,14382,267.3348983988254,7,9,4,4,39,1,95,Malware
51,36,17.328254996619425,4304,39.69406186072361,12870,347.76681388125064,6,9,2,2,29,1,72,Benign
82,35,23.061610187811354,3162,15.33183817144085,22726,418.51053570410903,5,1,0,5,10,0,32,Malware
31,33,24.048611389168677,2275,17.059024936828344,23038,351.27864415171246,13,2,2,2,27,1,60,Malware
59,32,6.283498429513824,2516,53.73407265769813,9753,138.1703682570307,9,2,0,2,1,0,33,Malware
67,29,34.99678000115148,2312,25.01723141258057,12136,317.1277313336336,1,7,4,0,39,2,29,Benign
31,26,15.917587304134265,2072,25.27256366772965,27365,453.842672590628,2,7,2,1,3,0,39,Malware
93,26,6.846279407296886,4523,29.36064980011641,16737,447.20948840959363,7,2,2,3,12,0,92,Malware
89,13,30.569695243265457,1515,58.32393364522613,21000,334.0062431003845,4,7,2,2,26,0,76,Malware
50,14,34.79056037636937,2914,14.219524801843821,21381,498.27848270833556,5,4,0,3,28,1,21,Malware
62,37,29.490755276482705,1687,50.93820512756675,22461,142.04948895374216,2,3,4,2,19,1,43,Benign
87,32,30.556474695795373,2019,27.077893823299323,5121,291.4381429566611,8,3,3,0,34,0,14,Benign
51,23,23.778053426583526,2295,52.473401299273746,24579,410.04945574109615,8,3,1,1,22,2,56,Benign
78,29,32.669767346627985,4502,59.58778247522712,7214,156.4152472456637,7,0,2,1,37,0,16,Malware
88,19,6.072156551824026,2049,27.43337051058739,24375,489.09990459314184,4,6,2,0,31,2,88,Benign
71,23,28.00171588862603,2093,16.467818310617762,14025,241.61861807345798,1,9,2,0,39,2,67,Benign
89,37,25.12130685002227,3340,17.218774899146414,7069,240.05590159143634,2,9,3,6,29,2,62,Malware
44,10,6.487549115720067,4477,47.937044547459294,26779,185.27772045648248,10,3,4,4,28,2,98,Malware
91,20,21.319207369294382,2257,17.246077616906828,15076,215.20698562663773,2,1,0,0,37,1,91,Benign
91,35,20.451810372736084,3278,23.02107842673183,17248,331.0355600292389,8,0,3,6,3,1,97,Malware
76,32,25.7460267523093,4334,20.219917183103988,6962,271.7417156203818,9,2,4,1,23,2,97,Malware
91,27,7.325942348275176,3985,27.783928201549127,25407,177.3512713306921,9,0,1,1,25,2,19,Malware
80,25,29.15836355985236,4869,13.718328757484374,29983,423.65597612658775,2,4,4,1,46,2,13,Benign
84,38,9.18210326034514,2609,52.8371241203629,11442,124.89572284962387,5,5,4,3,22,0,71,Benign
